código,tipo,municipio,territorial,nivel_subsiguiente,fuente,altitud,latitud,longitud,ubicacion,codigo_ideam,categoria_ideam
1046,Limnígrafo,Don Matías,Tahamíes,R. Grande - Chico - NSS,Don Matías - Quebrada Iborra - Peaje,2147,6.4743410,-75.3761410,,,
1047,Limnígrafo,Don Matías,Tahamíes,R. Grande - Chico - NSS,Don Matías - Quebrada La María,2147,6.4835230,-75.3854920,,,
1011,Limnígrafo,Envigado,Aburrá Sur,Rio Aburrá - NSS,Quebrada Ayurá,1685,6.1492670,-75.5763360,,,
1026,Limnígrafo,Envigado,Aburrá Sur,R. Negro - NSS,Quebrada Espíritu Santo,2620,6.1772400,-75.4953300,,,
1020,Limnígrafo,Gomez Plata,Tahamíes,R. Guadalupe y Medio Porce - NSS,Hojas Anchas,1828,6.6816830,-75.2180550,,,
1015,Limnígrafo,Itaguí,Aburrá Sur,Rio Aburrá - NSS,Quebrada Doña Maria,1610,6.1718310,-75.6276280,,,
1006,Limnígrafo,La Estrella,Aburrá Sur,Rio Aburrá - NSS,Río Medellín,1625,6.1536110,-75.6254170,,,
1003,Limnígrafo,La Pintada,Cartama,Directos R. Cauca (mi) - R. Amagá y Q. Sinifaná - NSS,Río Cauca,608,5.7455280,-75.6064170,,,
1029,Limnígrafo,La Pintada,Cartama,R. FR. y Otros Directos al Cauca - NSS,Río Cartama,636,5.7582930,-75.6410000,,,
1034,Limnígrafo,Nechí,Panzenú,Directos al Cauca (mi) entre Pto Valdivia y R. Nechí,Rio Cauca,1,8.0556550,-74.8736870,,,
1036,Limnígrafo,Nechí,Panzenú,Directos al Cauca (mi) entre Pto Valdivia y R. Nechí,Caño Mandinga,1,8.0599700,-74.7922470,,,
1012,Limnígrafo,Puerto Nare,Zenufaná,Río Nare - NSS,Río Nare,136,6.2167780,-74.6164900,,,
1004,Limnígrafo,Santa Rosa de Osos,Tahamíes,R. Guadalupe y Medio Porce - NSS,Porce,1828,6.5595890,-75.2058780,,,
1008,Limnígrafo,Santa Rosa de Osos,Tahamíes,R. Grande - Chico - NSS,Río Grande,1066,6.5724170,-75.2721670,,,
1050,Limnígrafo,Sopetrán,Hevéxicos,Directos R. Cauca (mi) - R. Aurra - NSS,Rio Aurrá,1,6.4750884,-75.7727890,,,
1014,Limnígrafo,Tarazá,Panzenú,R. Taraza y otros directos cauca (md) - NSS,Río Tarazá,96,7.5825810,-75.3996390,,,
1038,Limnígrafo,Tarazá,Panzenú,R. Taraza y otros directos cauca (md) - NSS,Rio Rayo,1,7.5376860,-75.3746060,,,
1022,Limnígrafo,Tarso,Cartama,R. San Juan - SZH (md),Río San Juan,571,5.9327500,-75.8591940,,,
1025,Limnígrafo,Vegachí,Zenufaná,R. San Bartolo y otros directos al Magdalena Medio - NSS,Río de la Cruz,984,6.7699190,-74.8004690,,,
1018,Limnígrafo,Zaragoza,Panzenú,R. Tigui - NSS,Río Nechí,75,7.4923280,-74.8733100,,,
1031,Limnígrafo,Zaragoza,Panzenú,R. Tigui - NSS,Quebrada La Occa,63,7.4897250,-74.8683450,,,
2009,Limnígrafo IDEAM,Caracolí,Zenufaná,Río Nare - NSS,Río Nare,1274,6.2760833,-74.6733056,Canteras,23087210.0,LG
